date,smlo_vwret,smme_vwret,smhi_vwret,bilo_vwret,bime_vwret,bihi_vwret,smlo_ewret,smme_ewret,smhi_ewret,bilo_ewret,bime_ewret,bihi_ewret,smlo_nfirms,smme_nfirms,smhi_nfirms,bilo_nfirms,bime_nfirms,bihi_nfirms,smlo_msize,smme_msize,smhi_msize,bilo_msize,bime_msize,bihi_msize,smlo_level,smme_level,smhi_level,bilo_level,bime_level,bihi_level
20000331,-0.1338,-0.0383,-0.0102,0.087,0.1064,0.1165,-0.0427,-0.0002,-0.0023,0.085,0.1403,0.1363,1125,1498,1670,565,377,147,386.36,227.72,118.27,17862,5100.26,3143.52,99798.008681,1204790.5082,3652904.0072,166032.8369,197201.08358,702589.3022
20000428,-0.1416,-0.0555,-0.0456,-0.0429,-0.0117,0.0428,-0.1659,-0.0659,-0.071,-0.0374,0.0127,0.0244,1115,1484,1650,562,374,146,335.39,216.94,116.69,19436.82,5601.41,3506.05,85666.610652,1137924.635,3486331.5845,158910.02819,194893.8309,732660.12433
20000531,-0.0808,-0.0553,-0.037,-0.0343,0.0105,-0.0037,-0.1046,-0.0518,-0.0541,-0.0177,0.0135,0.0191,1102,1467,1634,562,372,145,287.04,204.37,110.75,18591.25,5437.02,3647.39,78744.748511,1074997.4027,3357337.3159,153459.41423,196940.21612,729949.28187
20000630,0.1746,0.0926,0.0796,0.0502,-0.0587,-0.0553,0.132,0.0747,0.0621,0.0417,-0.0336,-0.0443,1091,1445,1612,558,369,141,260.92,190.72,106.9,17851.79,5398.53,3635.14,92493.581601,1174542.1622,3624581.3662,161163.07682,185379.82544,689583.08659
20000731,-0.0718,0.0147,0.0222,-0.0305,0.034,0.0453,-0.07,0.0032,0.0076,-0.0574,0.0294,0.0494,1414,1599,1505,774,351,126,248.89,171.36,96.41,15604.67,5207.46,3532.84,85852.542442,1191807.9319,3705047.0726,156247.60298,191682.7395,720821.20041
20000831,0.0852,0.0558,0.0633,0.0752,0.0844,0.0724,0.0759,0.0461,0.0486,0.1084,0.0757,0.0669,1400,1580,1492,768,348,125,231.51,174.57,98.7,15202.67,5405.69,3676.79,93167.179058,1258310.8145,3939576.5523,167997.42272,207860.76272,773008.65532
20000929,-0.071,-0.0022,-0.0111,-0.0612,0.0202,0.0149,-0.0876,-0.015,-0.0205,-0.0616,-0.0043,0.0129,1390,1552,1476,760,343,125,251.8,183.4,105.24,16472.87,5895.49,3929.61,86552.309345,1255542.5307,3895847.2525,157715.98045,212059.55012,784526.48428
20001031,-0.0823,-0.0109,-0.0185,-0.0224,0.0092,0.01,-0.1056,-0.0403,-0.0572,-0.0533,0.0081,0.0034,1373,1533,1445,753,340,124,234.57,182.96,105.23,15552.96,6042.69,3930.94,79429.054286,1241857.1172,3823774.0784,154183.14249,214010.49798,792371.74913
20001130,-0.1619,-0.0443,-0.0246,-0.1079,-0.0297,0.0012,-0.2101,-0.0758,-0.0695,-0.1642,-0.0196,0.0007,1360,1513,1413,750,334,124,216.54,179.28,104.98,15235.56,6071.31,3962.69,66569.490397,1186842.8469,3729709.236,137546.78142,207654.38619,793322.59522
20001229,0.0273,0.0931,0.082,-0.0025,0.0931,0.0662,-0.0833,0.0034,-0.0064,0.027,0.115,0.1068,1331,1494,1393,749,331,121,181.61,171.04,103.31,13595.24,5824.02,3866.84,68386.837485,1297337.9159,4035545.3934,137202.91446,226987.00955,845840.55103
20010131,0.1256,0.0537,0.0641,0.0371,0.0093,-0.0161,0.4392,0.2064,0.2021,0.155,0.0239,0.0191,1298,1475,1369,746,328,121,188.82,186.8,112.21,13462.04,6269.84,4113.49,76976.224273,1367004.962,4294223.8531,142293.14259,229097.98874,832222.51816
20010228,-0.1228,-0.0055,0.0059,-0.1157,-0.0047,0.0333,-0.1469,-0.0275,-0.0047,-0.1603,-0.0145,0.0269,1281,1458,1359,743,324,120,213.85,196.32,119.96,13949.27,6368.69,3975.59,67523.543932,1359486.4347,4319559.7738,125829.82599,228021.22819,859935.52801
20010330,-0.0734,-0.0139,-0.012,-0.082,-0.0173,-0.0164,-0.1159,-0.0297,-0.0292,-0.1218,-0.0372,-0.0253,1266,1443,1341,740,321,119,189.08,195.77,119.88,12368.85,6347.06,4118.48,62567.315808,1340589.5733,4267725.0565,115511.78026,224076.46094,845832.58535
20010430,0.102,0.0497,0.0513,0.0892,0.0525,0.0527,0.1125,0.0446,0.0296,0.1494,0.0747,0.0573,1249,1420,1315,735,320,119,175.79,193.86,119.42,11413.47,6236.44,4042.3,68949.18202,1407216.8751,4486659.352,125815.43106,235840.47514,890407.9626
20010531,0.0411,0.0446,0.064,0.0039,0.0196,0.0362,0.0766,0.0734,0.0915,0.024,0.0296,0.029,1230,1401,1284,731,319,119,196.08,203.36,127.66,12463.69,6567.69,4250.07,71782.993401,1469978.7477,4773805.5505,126306.11124,240462.94845,922640.73085
20010629,0.0655,0.0522,0.0188,-0.0196,-0.0187,-0.0183,0.016,0.0377,0.0161,0.0009,-0.0186,-0.0169,1211,1386,1265,722,317,118,206.88,213.3,136.67,12634.62,6708.33,4341.05,76484.779469,1546711.6383,4863553.0948,123830.51146,235966.29132,905756.40547
20010731,-0.0955,-0.0405,-0.0104,-0.0168,-0.0136,0.0109,-0.0801,-0.0307,-0.0067,-0.0396,-0.0083,-0.0044,1022,1462,1939,560,371,104,334.94,254.98,108.71,15781.91,7226.3,6080.03,69180.48303,1484069.817,4812972.1426,121750.15887,232757.14976,915629.15029
20010831,-0.0779,-0.0234,-0.0124,-0.0697,-0.0399,-0.0667,-0.0795,-0.0253,-0.0199,-0.0702,-0.0284,-0.0344,1007,1443,1891,552,370,104,307.13,244.44,107.96,15639.94,7133.78,6142.5,63791.323402,1449342.5832,4753291.2881,113264.17279,223470.13948,854556.68597
20010928,-0.172,-0.13,-0.1438,-0.0832,-0.0892,-0.0759,-0.1796,-0.1157,-0.1184,-0.1445,-0.1155,-0.1315,999,1435,1865,552,368,104,284.63,238.34,106.91,14533.65,6811.14,5716.93,52819.215777,1260928.0474,4069768.0008,103840.59362,203536.60304,789695.8335
20011031,0.112,0.0507,0.0442,0.0332,0.0075,-0.0401,0.1425,0.0734,0.0544,0.1047,0.0419,0.0371,991,1423,1843,551,366,103,236.47,207.23,92.04,13334.12,6112.88,5302.85,58734.967944,1324857.0994,4249651.7465,107288.10133,205063.12756,758029.03058
20011130,0.0908,0.0717,0.0889,0.0832,0.0586,0.1001,0.1015,0.0745,0.0697,0.1136,0.0791,0.0924,977,1407,1805,549,364,102,265.59,218.28,97.18,13809.97,6168.07,5083.2,64068.103033,1419849.3535,4627445.7867,116214.47136,217079.82684,833907.73654
