"","date","smlo_vwret","smme_vwret","smhi_vwret","bilo_vwret","bime_vwret","bihi_vwret","rf"
"1",20000331,-0.1338,-0.0383,-0.0102,0.087,0.1064,0.1165,0.0047
"2",20000428,-0.1416,-0.0555,-0.0456,-0.0429,-0.0117,0.0428,0.0046
"3",20000531,-0.0808,-0.0553,-0.037,-0.0343,0.0105,-0.0037,0.005
"4",20000630,0.1746,0.0926,0.0796,0.0502,-0.0587,-0.0553,0.004
"5",20000731,-0.0718,0.0147,0.0222,-0.0305,0.034,0.0453,0.0048
"6",20000831,0.0852,0.0558,0.0633,0.0752,0.0844,0.0724,0.005
"7",20000929,-0.071,-0.0022,-0.0111,-0.0612,0.0202,0.0149,0.0051
"8",20001031,-0.0823,-0.0109,-0.0185,-0.0224,0.0092,0.01,0.0056
"9",20001130,-0.1619,-0.0443,-0.0246,-0.1079,-0.0297,0.0012,0.0051
"10",20001229,0.0273,0.0931,0.082,-0.0025,0.0931,0.0662,0.005
"11",20010131,0.1256,0.0537,0.0641,0.0371,0.0093,-0.0161,0.0054
"12",20010228,-0.1228,-0.0055,0.0059,-0.1157,-0.0047,0.0333,0.0038
"13",20010330,-0.0734,-0.0139,-0.012,-0.082,-0.0173,-0.0164,0.0042
"14",20010430,0.102,0.0497,0.0513,0.0892,0.0525,0.0527,0.0039
"15",20010531,0.0411,0.0446,0.064,0.0039,0.0196,0.0362,0.0032
"16",20010629,0.0655,0.0522,0.0188,-0.0196,-0.0187,-0.0183,0.0028
"17",20010731,-0.0955,-0.0405,-0.0104,-0.0168,-0.0136,0.0109,0.003
"18",20010831,-0.0779,-0.0234,-0.0124,-0.0697,-0.0399,-0.0667,0.0031
"19",20010928,-0.172,-0.13,-0.1438,-0.0832,-0.0892,-0.0759,0.0028
"20",20011031,0.112,0.0507,0.0442,0.0332,0.0075,-0.0401,0.0022
"21",20011130,0.0908,0.0717,0.0889,0.0832,0.0586,0.1001,0.0017
"22",20011231,0.0666,0.0684,0.0696,0.0075,0.0297,0.0135,0.0015
"23",20020131,-0.0517,0.0111,0.027,-0.0086,-0.02,-0.0182,0.0014
"24",20020228,-0.0819,-0.0131,-0.0041,-0.026,0.0011,-0.0255,0.0013
"25",20020328,0.0907,0.0753,0.1007,0.0363,0.0517,0.0491,0.0013
"26",20020430,-0.0361,0.0273,0.0396,-0.0694,-0.0149,-0.0605,0.0015
"27",20020531,-0.0644,-0.0366,-0.0253,-0.0136,9e-04,-0.0027,0.0014
"28",20020628,-0.0748,-0.0278,-0.0243,-0.0734,-0.0656,-0.0941,0.0013
"29",20020731,-0.1456,-0.1427,-0.1496,-0.0596,-0.0941,-0.1285,0.0015
"30",20020830,-0.0068,0.0059,-0.0075,0.0025,0.0079,0.049,0.0014
"31",20020930,-0.0862,-0.0769,-0.0654,-0.1058,-0.1024,-0.1017,0.0014
"32",20021031,0.0687,0.0425,-0.001,0.0971,0.0643,0.0377,0.0014
"33",20021129,0.1386,0.0755,0.077,0.05,0.0659,0.0808,0.0012
"34",20021231,-0.0912,-0.0409,-0.0335,-0.0628,-0.0459,-0.0432,0.0011
"35",20030131,-0.0238,-0.0242,-0.0135,-0.0267,-0.0227,-0.0538,0.001
"36",20030228,-0.0366,-0.0236,-0.0333,-0.0101,-0.0327,-0.0422,9e-04
"37",20030331,0.0193,0.0055,0.01,0.017,0.0011,-0.0055,0.001
"38",20030430,0.1115,0.0943,0.0905,0.0764,0.0909,0.0966,0.001
"39",20030530,0.1324,0.1078,0.1037,0.0498,0.0688,0.0804,9e-04
"40",20030630,0.0236,0.0246,0.0364,0.0121,0.0134,0.014,0.001
"41",20030731,0.0829,0.0616,0.0632,0.0233,0.0174,0.0017,7e-04
"42",20030829,0.0469,0.0503,0.0615,0.0179,0.0222,0.0375,7e-04
"43",20030930,-0.0176,-0.0164,0.0089,-0.0081,-0.0195,-0.015,8e-04
"44",20031031,0.0821,0.0826,0.1084,0.0512,0.0748,0.0607,7e-04
"45",20031128,0.029,0.0389,0.0453,0.0084,0.0168,0.0212,7e-04
"46",20031231,0.0074,0.024,0.0407,0.0429,0.049,0.0638,8e-04
"47",20040130,0.0411,0.0429,0.0605,0.0158,0.0213,0.0274,7e-04
"48",20040227,0.0039,0.0068,0.0075,0.0119,0.0241,0.0172,6e-04
"49",20040331,0.0099,0.006,0.0042,-0.0183,-0.0055,-0.0112,9e-04
"50",20040430,-0.037,-0.0344,-0.0608,-0.0067,-0.0316,-0.0163,8e-04
"51",20040528,0.0117,0.0105,0.0077,0.0139,0.008,0.0112,6e-04
"52",20040630,0.0343,0.0442,0.0526,0.0122,0.022,0.0273,8e-04
"53",20040730,-0.0991,-0.0526,-0.0429,-0.0489,-0.017,-0.0147,0.001
